timestamp_transactions,mine_time(sec)
1591315200000, 4.285525
1591318800000, 19.235762
1591322400000, 26.556469
1591326000000, 32.507022
1591329600000, 37.298523
1591333200000, 5.761393
1591336800000, 24.604903
1591340400000, 33.999781
1591344000000, 2.624474
1591347600000, 5.299812
1591351200000, 7.05594
1591354800000, 1.957854
1591358400000, 52.604322
1591362000000, 3.777119
1591365600000, 7.810312
1591369200000, 4.263142
1591372800000, 22.546521
1591376400000, 2.311196
1591380000000, 12.154297
1591383600000, 2.422987
1591387200000, 9.209573
1591390800000, 30.9415
1591394400000, 7.567028
1591398000000, 11.281873
1591401600000, 24.154438
